Heosemys annandalii
Pseudochazara cingovskii
Paratrygon aiereba
Batagur borneoensis
Primula boveana
Callitriche pulchra
Alsophylax laevis
Pegias fabula
Islamia pseudorientalica
Leguminaia saulcyi
Boophis baetkei
Pelochelys cantorii
Lathyrus gloeosperma
Allotoca diazi
Vigna dolomitica
Chitra vandijki
Cryptella alegranzae
Charpentieria spezialensis
Macedonica martae
Vermetum festinans
Janulus pompylius
Atlantica gomerensis
Charpentieria ferrox
Tandonia lagostana
Xerotricha garachicoensis
Carinigera drenovoensis
Charpentieria crassicostata
Mammillaria manana
Bythinella atypikos
Rhampholeon acuminatus
Physunio ferrugineus
Diospyros potamica
Diospyros brainii
Diospyros ottohuberi
Diospyros tepu
Diospyros kanizur
Diospyros acris
Diospyros glabrata
Diospyros rotok
Diospyros fusicarpa
Diospyros fenal
Diospyros terminalis
Diospyros tenuipes
Diospyros bambuseti
Diospyros subsessilis
Diospyros streptosepala
Diospyros ketsensis
Diospyros tetrapoda
Diospyros transita
Diospyros alisu
Conolophus marthae
Semecarpus kathalekanensis
Callulina dawida
Platysternon megacephalum
Vicia eristalioides
Plethodon shenandoah
Calamaria ingeri
Pleurobema curtum
Pleurobema hanleyianum
Pleurobema rubellum
Pleurocera corpulenta
Elaphoglossum stigmatolepis
Omoadiphas texiguatensis
Micrurus ruatanus
Balaka streptostachys
Poblana alchichica
Poblana ferdebueni
Poblana letholepis
Poblana squamata
Succinea rotumana
Placostylus koroensis
Cryptella tamaranensis
Partula leefei
Podocnemis lewyana
Anolis cusuco
Anolis amplisquamosus
Anolis muralla
Triaspis schliebenii
Orthosiphon scedastophyllus
Cyperus gigantobulbes
Rhynchosia braunii
Humbertochloa greenwayi
Taxillus wiensii
Disperis egregia
Polystachya acuminata
Blotiella coriacea
Cynorkis usambarae
Saintpaulia ulugurensis
Rhynchosia calobotrya
Lobelia graniticola
Eugenia scheffleri
Diplazium ulugurense
Rhynchosia holtzii
Oldenlandia borrerioides
Marsilea fadeniana
Phyllanthus rhizomatosus
Saintpaulia watkinsii
Tridactyle sarcodantha
Combretum lindense
Ipomoea kilwaensis
Cyperus boreobellus
Polystachya porphyrochila
Polystachya canaliculata
Athyrium rondoense
Polystachya rugosilabia
Rhipidoglossum orientalis
Bulbostylis microcarpa
Eragrostis muerensis
Orthosiphon schliebenii
Dorstenia bicaudata
Commiphora ulugurensis
Millettia puguensis
Mystacidium nguruense
Lobelia sancta
Ipomoea microcalyx
Memecylon buxoides
Ipomoea consimilis
Plectranthus scopulicola
Oldenlandia patula
Agelanthus rondensis
Afrothismia mhoroana
Clarias batu
Oreoglanis lepturus
Betta fusca
Hyalobagrus ornatus
Sclerocactus brevispinus
Probarbus jullieni
Arrojadoa albiflora
Discocactus cangaensis
Discocactus subterraneo-proliferans
Rhipsalis triangularis
Hungerfordia polymorpha
Pseudotocinclus juquiae
Notholebias fractifasciatus
Leptopanchax itanhaensis
Hypsolebias rufus
Listrura nematopteryx
Listrura tetraradiata
Anablepsoides cearensis
Cnesterodon omorgmatos
Leptopanchax citrinipinnis
Delturus parahybae
Phalloptychus eigenmanni
Notholebias cruzi
Hypsolebias virgulatus
Trichomycterus itacarambiensis
Kryptolebias gracilis
Atlantirivulus lazzarotoi
Campellolebias dorsimaculatus
Neofundulus acutirostratus
Pamphorichthys pertapeh
Rhamdia enfurnada
Hypsolebias auratus
Simpsonichthys zonatus
Hasemania melanura
Otothyris juquiae
Characidium vestigipinne
Cnesterodon iguape
Hypsolebias janaubensis
Phallotorynus fasciolatus
Ophthalmolebias perpendicularis
Kolpotocheirodon figueiredoi
Nematolebias papilliferus
Tembeassu marauna
Heptapterus multiradiatus
Atlantirivulus nudiventris
Microlepidogaster perforatus
Hasemania maxillaris
Campellolebias chrysolineatus
Campellolebias intermedius
Hyphessobrycon taurocephalus
Isbrueckerichthys saxicola
Ophthalmolebias bokermanni
Melanorivulus egens
Acrolebias carvalhoi
Ceratozamia santillanii
Zamia pyrophylla
Estevesia alex-bragae
Ptychobranchus jonesi
Cincinna kizakikoensis
Pyrgulopsis bruneauensis
Marstonia castor
Elimia bellacrenata
Pyrgulopsis erythropoma
Pyrgulopsis ventricosa
Caledoconcha carnosa
Marstonia ozarkensis
Pyrgulopsis thermalis
Pyrgulopsis trivialis
Fusconaia mitchelli
Rauvolfia chaudocensis
Polyscias thailandica
Chirostoma aculeatum
Chirostoma charari
Chirostoma melanoccus
Chirostoma patzcuaro
Chirostoma riojai
Trevesia vietnamensis
Algansea barbata
Algansea lacustris
Notropis calabazas
Notropis calientis
Notropis marhabatiensis
Fundulus philpisteri
Callicarpa bracteata
Caryota kiriwongensis
Trachycarpus oreophilus
Allodontichthys polylepis
Ailanthus vietnamensis
Camellia crassiphylla
Camellia cucphuongensis
Camellia dongnaiensis
Camellia flava
Camellia piquetiana
Camellia rosmannii
Camellia rubriflora
Cinnamomum cambodianum
Quercus sichourensis
Quercus bawanglingensis
Quercus albicaulis
Allotoca meeki
Neoophorus regalis
Allotoca zacapuensis
Chapalichthys pardalis
Paphiopedilum delenatii
Paphiopedilum hangianum
Paphiopedilum helenae
Paphiopedilum henryanum
Paphiopedilum micranthum
Paphiopedilum purpuratum
Paphiopedilum tranlienianum
Wrightia tokiae
Gobiesox juniperoserrai
Camellia maiana
Paphiopedilum canhii
Oligodon booliati
Calamaria prakkei
Conus salreiensis
Conus mordeirae
Etheostoma lugoi
Rasbora tawarensis
Pascua sticta
Paphiopedilum sukhakulii
Takifugu chinensis
Acer pentaphyllum
Acer shihweii
Magnolia chimantensis
Magnolia domingensis
Magnolia longipedunculata
Magnolia pleiocarpa
Quercus argyrotricha
Trimeresurus labialis
Quercus fimbriata
Quercus mulleri
Betula chichibuensis
Ostrya chisosensis
Bolitoglossa huehuetenanguensis
Bolitoglossa ninadormida
Bolitoglossa nussbaumi
Bolitoglossa tzultacaj
Rhamdia reddelli
Carpinus hebestroma
Carpinus tientaiensis
Alnus henryi
Eleutherodactylus aporostegus
Eleutherodactylus bothroboans
Eleutherodactylus limbensis
Eleutherodactylus rucillensis
Pseudophilotes sinaicus
Polyommatus bollandi
Coregonus vessicus
Bulbostylis fusiformis
Commelina mwatayamvoana
Gutenbergia pubescens
Silene cobalticola
Wahlenbergia malaissei
Megophrys sangzhiensis
Gonatorhaphe lauensis
Omphalotropis ingens
Placostylus mbengensis
Priceconcha tuvuthaensis
Trochomorpha moalensis
Trochomorpha tuvuthae
Dypsis metallica
Dypsis leptocheilos
Tahina spectabilis
Dypsis rakotonasoloi
Dypsis jeremiei
Dypsis digitata
Dypsis trapezoidea
Dypsis tokoravina
Dypsis sancta
Dypsis dracaenoides
Ravenea delicatula
Dypsis carlsmithii
Dypsis mahia
Ravenea hypoleuca
Dypsis pulchella
Dypsis ramentacea
Dypsis beentjei
Dypsis reflexa
Dypsis brevicaulis
Ravenea beentjei
Dypsis elegans
Dypsis laevis
Dypsis lanuginosa
Dypsis tanalensis
Dypsis pervillei
Dypsis andilamenensis
Dypsis caudata
Dypsis brittiana
Dypsis remotiflora
Dypsis vonitrandambo
Dypsis pumila
Dypsis sanctaemariae
Dypsis cookei
Dypsis scandens
Dypsis gronophyllum
Dypsis humilis
Dypsis anjae
Idioctis intertidalis
Conothele truncicola
Nesiergus gardineri
Nesiergus halophilus
Paccius quadridentatus
Apolania segmentata
Microdrassus inaudax
Euso muehlenbergi
Farqua quadrimaculata
Gamasomorpha austera
Ischnothyrella jivani
Lionneta gerlachi
Opopaea probosciella
Opopaea suspecta
Orchestina maureen
Hybosida dauban
Hybosida lucida
Steriphopus lacertosus
Spermophorides lascars
Prodidomus stella
Hasarius mahensis
Patu silho
Seychellia lodoiceae
Akihito futuna
Parioglossus galzini
Stiphodon discotorquatus
Stiphodon rubromaculatus
Moneta coercervea
Sesato setosa
Andasta siltte
Zoma zoma
Voraptus tenellus
Afrogarypus seychellesensis
Emoia slevini
Leiolopisma alazon
Mahezomus apicoporus
Rhodacmea filosa
Mecistocephalus sechellarum
Mecistocephalus cyclops
Ityphilus melanostigmus
Diglossosternoides curiosus
Ariadna ustulata
Galaxias anomalus
Galaxias cobitinis
Galaxias eldoni
Galaxias gollumoides
Galaxias macronasus
Galaxias prognathus
Galaxias pullus
Neochanna heleios
Leptopalaemon glabrus
Sinodina acutipoda
Caridina yilong
Paratya norfolkensis
Sacalia quadriocellata
Lancaris kumariae
Palaemonetes mesopotamicus
Macrobrachium purpureamanus
Macrobrachium scorteccii
Caridina apodosis
Cryphiops luscus
Caridina subventralis
Typhlatya rogersi
Eua mauga
Partula vanikorensis
Partula assimilis
Samoana stevensoniana
Hadopyrgus ngataana
Kuschelita inflata
Kuschelita mica
Potamopyrgus acus
Potamopyrgus oppidanus
Balta crassivenosa
Delosia ornata
Hololeptoblatta pandanicola
Theganopteryx scotti
Procryptotermes fryeri
Antisolabis seychellensis
Theganopteryx liturata
Seychellesia nitidula
Chaetolabia fryeri
Chaetospania gardineri
Holocompsa pusilla
Procytettix fusiformis
Sliferia similis
Gryllapterus tomentosus
Theganopteryx grisea
Coptottigia cristata
Glyptotermes scotti
Carausius scotti
Coneuplecta turrita
Opuntia abjecta
Madascincus arenicola
Asplenium schizotrichum
Coprosma laevigata
Allium baytopiorum
Allium czelghauricum
Allochrusa takhtajanii
Trifolium bobrovii
Asplenium daghestanicum
Astragalus schachbuzensis
Astragalus acmophylloides
Astragalus trabzonicus
Astragalus longivexillatus
Astragalus daghestanicus
Astragalus igniarius
Astragalus nigrocalycinus
Astragalus eliasianus
Astragalus magnificus
Astragalus bylowae
Bufonia takhtajanii
Campanula kantschavelii
Campanula troegerae
Campanula seraglio
Campanula aghrica
Centaurea vavilovii
Centaurea drabifolioides
Centaurea tamanianiae
Centaurea demirizii
Centaurea leptophylla
Cephalaria anatolica
Chaerophyllum karsianum
Chaerophyllum posofianum
Cirsium davisianum
Cirsium eliasianum
Colchicum leptanthum
Crataegus turcicus
Delphinium iris
Delphinium munzianum
Draba narmanensis
Erodium hendrikii
Erodium sosnowskianum
Ferula mervynii
Fritillaria grandiflora
Centaurea caroli-henrici
Helichrysum artvinense
Hornungia angustilimbata
Hypericum fissurale
Jurinea akinfievii
Lamium tschorochense
Lotus armeniacus
Colchicum greuteri
Muehlbergella oweriniana
Nonea karsensis
Onosma arcuata
Onosma nigricaulis
Ornithogalum gabrielianiae
Podospermum grossheimii
Podospermum idae
Polygonum caspicum
Potentilla seidlitziana
Psephellus avaricus
Psephellus adjaricus
Psephellus gracillimus
Pyrus gergerana
Pyrus voronovii
Pyrus browiczii
Ranunculus vermirrhizus
Ranunculus tempskyanus
Ranunculus aragazi
Rhodothamnus sessilifolius
Rosa dolichocarpa
Rubus takhtadjanii
Saxifraga artvinensis
Scorzonera ketzkhovelii
Scorzonera kozlowskyi
Scrophularia capillaris
Scutellaria rhomboidalis
Sedum euxinum
Jacobaea trapezuntina
Silene chustupica
Silene ispirensis
Sonchus araraticus
Stachys choruhensis
Stachys sosnowskyi
Stachys bayburtensis
Campanula lazica
Symphytum savvalense
Tanacetum oxystegium
Noccaea zangezuricum
Tragopogon otschiaurii
Tragopogon makaschwilii
Trapa colchica
Tulipa gumusanica
Verbascum transcaucasicum
Verbascum decursivum
Veronica allahuekberensis
Vicia quadrijuga
Vicia erzurumica
Erysimum deflexum
Astragalus tatlii
Astragalus olurensis
Dischistocalyx rivularis
Asclepias kamerunensis
Gigantidas horikoshii
Semperdon kororensis
Semperdon xyleborus
Aloe brunneostriata
Aloe ghibensis
Aloe molederana
Aloe jucunda
Dicrogonatus niger
Michaelothyrus seychellensis
Rhinotus albifrons
Spirobolellus simplex
Eucarlia mauriesi
Sechelleptus unilineatus
Reinhardtia paiewonskiana
Iris cedreti
Amorphophallus interruptus
Amorphophallus lanuginosus
Amorphophallus synandrifer
Arisaema rostratum
Hapaline locii
Typhonium lineare
Typhonium penicillatum
Paraboea uniflora
Primulina modesta
Cypripedium daweishanense
Cypripedium malipoense
Paphiopedilum wenshanense
Planchonella stellibacca
Pinniwallago kanpurensis
Impatiens adenioides
Impatiens angustisepala
Paraboea albida
Paraboea tarutaoensis
Etheostoma chermocki
Etheostoma marmorpinnum
Begonia minuta
Begonia montis-elephantis
Begonia stellata
Stereospermum zenkeri
Pristimera biholongii
Pristimera breteleri
Salacia conraui
Simirestis staudtii
Magnistipula multinervia
Dichapetalum korupinum
Dichapetalum letouzeyi
Eriosema adamaouense
Ostryocarpus zenkerianus
Platysepalum scaberulum
Rhynchosia ledermannii
Trifolium gillettianum
Memecylon bakossiense
Warneckea ngutiensis
Eugenia buchholzii
Leptobrachella khasiorum
Abronia campbelli
Anolis bicaorum
Anolis kreutzi
Anolis monteverde
Anolis morazani
Anolis utilensis
Anolis villai
Pristidactylus casuhatiensis
Aristelliger reyesi
Tropidophis gularis
Dendrophidion boshelli
Tantilla insulamontana
Tantilla petersi
Tantilla tritaeniata
Acanthobrama hadiyahensis
Cyrtandra lillianae
Cyrtandra rarotongensis
Garnotia cheesemanii
Coniophanes andresensis
Haloragis stokesii
Enulius bifoveatus
Sclerotheca viridiflora
Omoadiphas cannula
Trimetopon viquezi
Anolis tenorioensis
Hunteria hexaloba
Simirestis klaineana
Aristogeitonia gabonica
Dinklageella villiersii
Cynisca gansi
Cynisca kigomensis
Stagnicola utahensis
Stagnicola bonnevillensis
Neoarius taylori
Nilssonia nigricans
Nilssonia leithii
Toxolasma cylindrellus
Triplophysa gejiuensis
Juturnia brunei
Videna pagodula
Videna pumila
Batagur baska
Boettgeria obesiuscula
Ameerega planipaleae
Cyclura stejnegeri
Brachylophus vitiensis
Widdringtonia cedarbergensis
Pherosphaera fitzgeraldii
Diospyros hemiteles
Diospyros nodosa
Euphorbia tanaensis
Magnolia gustavii
Picea neoveitchii
Juniperus saxicola
Aquilaria malaccensis
Warburgia elongata
Garcinia bifasciculata
Cynometra ulugurensis
Carpinus putoensis
Ostrya rehderiana
Dalbergia oliveri
Apterosperma oblata
Magnolia zenii
Magnolia grandis
Elaeocarpus venustus
Dalbergia cochinchinensis
Aquilaria crassna
Tetrorchidium ulugurense
Erythrina schliebenii
Araucaria angustifolia
Acer undulatum
Diospyros magogoana
Hopea cordata
Shorea falcata
Podocarpus urbanii
Ehretia glandulosissima
Magnolia omeiensis
Magnolia sinica
Zenkerella perplexa
Lijndenia brenanii
Cuviera migeodii
Actinodaphne ellipticibacca
Syndiclis lotungensis
Delonix tomentosa
Attalea crassispatha
Pinus squamata
Balaka microcarpa
Cyphosperma tanga
Dypsis ambanjae
Dypsis ampasindavae
Dypsis antanambensis
Dypsis arenarum
Dypsis basilonga
Dypsis canaliculata
Dypsis hovomantsina
Dypsis ifanadianae
Dypsis intermedia
Dypsis interrupta
Dypsis mangorensis
Dypsis nauseosa
Dypsis nossibensis
Dypsis oropedionis
Dypsis ovobontsira
Dypsis sahanofensis
Dypsis singularis
Masoala madagascariensis
Pseudophoenix ekmanii
Pseudophoenix lediniana
Ravenea lakatra
Ravenea louvelii
Voanioala gerardii
Dypsis ambositrae
Magnolia calimaensis
Magnolia cararensis
Magnolia colombiana
Magnolia espinalii
Magnolia katiorum
Magnolia polyhypsophylla
Magnolia virolinensis
Magnolia wolfii
Euphorbia neoarborescens
Magnolia ovoidea
Geothallus tuberosus
Squatina occulta
Galeorhinus galeus
Carcharhinus longimanus
Sphyrna lewini
Sphyrna mokarran
Neoschumannia kamerunensis
Impatiens grandisepala
Heosemys depressa
Siebenrockiella leytensis
Podocarpus costaricensis
Mauremys mutica
Rafetus swinhoei
Aaadonta angaurana
Leucocephalon yuwonoi
Mammillaria albiflora
Mammillaria anniana
Mammillaria duwei
Mammillaria glochidiata
Mammillaria herrerae
Mammillaria marcosii
Mammillaria pennispinosa
Mammillaria sanchez-mejoradae
Mammillaria zeilmanniana
Cipocereus pusilliflorus
Pilosocereus azulensis
Micranthocereus streckeri
Coleocephalocereus purpureus
Melocactus conoideus
Melocactus ferreophilus
Uebelmannia buiningii
Turbinicarpus alonsoi
Turbinicarpus gielsdorfianus
Turbinicarpus hoferi
Turbinicarpus laui
Turbinicarpus mandragora
Turbinicarpus swobodae
Pseudobatos horkelii
Opuntia chaffeyi
Pinus torreyana
Podocarpus perrieri
Ptisana purpurascens
Pteris adscensionis
Sporobolus caespitosus
Arius festinus
Arius uncinatus
Mustelus fasciatus
Urotrygon microphthalmum
Sympterygia acuta
Diospyros tero
Characodon lateralis
Brachystephanus kupeensis
Paphiopedilum emersonii
Chirostoma bartoni
Atelopus varius
Peltophryne fluviatica
Leptophryne cruentata
Allobates chalcopis
Gastrotheca christiani
Agalychnis lemur
Eleutherodactylus amadeus
Eleutherodactylus apostates
Eleutherodactylus bakeri
Eleutherodactylus brevirostris
Eleutherodactylus caribe
Eleutherodactylus chlorophenax
Craugastor coffeus
Eleutherodactylus corona
Eleutherodactylus darlingtoni
Eleutherodactylus dolomedes
Eleutherodactylus eunaster
Pristimantis euphronides
Eleutherodactylus fowleri
Eleutherodactylus furcyensis
Mecistops cataphractus
Eleutherodactylus glandulifer
Eleutherodactylus glanduliferoides
Eleutherodactylus jamaicensis
Eleutherodactylus jugans
Eleutherodactylus lamprotes
Crocodylus siamensis
Crocodylus mindorensis
Eleutherodactylus lucioi
Eleutherodactylus nortoni
Eleutherodactylus orcutti
Eleutherodactylus oxyrhyncus
Eleutherodactylus parapelates
Eleutherodactylus paulsoni
Eleutherodactylus poolei
Craugastor punctariolus
Eleutherodactylus rhodesi
Eleutherodactylus schmidti
Eleutherodactylus sciagraphus
Eleutherodactylus thorectes
Eleutherodactylus ventrilineatus
Eleutherodactylus warreni
Leptodactylus fallax
Telmatobius ceiorum
Telmatobius laticeps
Cyclanorbis elegans
Tetronarce puelcha
Sphyrna media
Sphyrna tudes
Mustelus schmitti
Isogomphodon oxyrhynchus
Carcharhinus porosus
Cyclura pinguis
Cyprinella bocagrande
Cyprinodon latifasciatus
Centaurea akamantis
Cyprinodon pachycephalus
Delphinium caseyi
Pseudophilautus stuarti
Chasmistes liorus
Epioblasma torulosa
Dipturus mennii
Tampichthys dichromus
Diplommatina ringens
Aaadonta irregularis
Eleutherodactylus cavernicola
Eleutherodactylus junori
Eleutherodactylus semipalmatus
Eleutherodactylus sisyphodemus
Elimia ampla
Elliptio nigella
Alasmidonta raveneliana
Epioblasma othcaloogensis
Aaadonta kinlochi
Alligator sinensis
Fusconaia cor
Allotoca maculata
Gambusia eurystoma
Gambusia hurtadoi
Aaadonta pelewana
Gopherus agassizii
Heosemys grandis
Hirinaba curytibana
Hydrotarsus compunctus
Amblema neislerii
Idiostatus middlekaufi
Idunella sketi
Iglica gratulabunda
Ingolfiella longipes
Ixalodectes flectocercus
Jardinella colmani
Kapcypridopsis barnardi
Kondoconcha othnius
Konia dikume
Konia eisentrauti
Haplochromis ishmaeli
Haplochromis teegelaari
Haplochromis mylergates
Laminella sanguinea
Lampsilis streckeri
Lampsilis virescens
Lanistes neritoides
Lasmigona decorata
Latimeria chalumnae
Leptoxis plicata
Leuchocharis pancheri
Lexingtonia subplana
Libellula angelina
Ancylastrum cumingianus
Ancylus ashangiensis
Mautodontha boraborensis
Mautodontha ceuthma
Aneuretus simoni
Platystigma pronoti
Medionidus penicillatus
Medionidus simpsonianus
Fluvidona petterdi
Megalobulimus grandis
Megalobulimus proclivis
Meladema imbricata
Mesonerilla prospera
Micrarionta feralis
Alocasia atropurpurea
Alocasia sinuata
Rafflesia magnifica
Parathelphusa reticulata
Geothelphusa lanyu
Strengeriana antioquensis
Geothelphusa lutao
Tehuana veracruzana
Phricotelphusa hockpingi
Schizothorax grahami
Yunnanilus discoloris
Sinocyclocheilus grahami
Xenocypris yunnanensis
Bombus franklini
Salmo ezenami
Corseria corsica
Myaka myaka
Nanocopia minuta
Nanodectes bulbicercus
Napaeus isletae
Nemacheilus troglocataractus
Nicrophorus americanus
Nothomyrmecia macrops
Obovaria retusa
Ogasawarana chichijimana
Ogasawarana habei
Ogasawarana metamorpha
Ogasawarana rex
Ogasawarana yoshiwarana
Oncorhynchus apache
Oncorhynchus formosanus
Opanara altiapica
Opanara areaensis
Opanara bitridentata
Opanara caliculata
Opanara depasoapicata
Opanara duplicidentata
Opanara fosbergi
Opanara megomphala
Opanara perahuensis
Euastacus dalagarbe
Ombrastacoides parvicaudatus
Euastacus gamilaroi
Euastacus guwinus
Euastacus girurmulayn
Euastacus guruhgi
Euastacus jagabar
Engaewa pseudoreducta
Cambarellus areolatus
Cambarellus prolixus
Ombrastacoides denisoni
Euastacus mirangudjin
Procambarus ortmannii
Cambarus veitchorum
Procambarus catemacoensis
Opisthopatus roseus
Procambarus paradoxus
Procambarus machardyi
Orconectes sheltae
Procambarus regiomontanus
Orangia maituatensis
Lyhnidia karamani
Anagastina hadouphylax
Plagigeyeria montenigrina
Saxurinator orthodoxus
Graziana adlitzensis
Hauffenia lucidula
Graecoanatolica vegorriticola
Islamia trichoniana
Sardohoratia sulcata
Islamia graeca
Trichonia trichonica
Melanopsis penchinati
Tanousia zrmanjae
Dianella thiesseana
Prespolitorea malaprespensis
Zaumia sanctizaumi
Parabythinella malaprespensis
Lanzaia skradinensis
Alzoniella galaica
Bythiospeum husmanni
Gocea ohridana
Islamia bendidis
Belgrandiella kreisslorum
Belgrandia varica
Marstoniopsis armoricana
Lyhnidia hadzii
Belgrandia moitessieri
Stankovicia baicaliiformis
Microcolpia parreyssii
Prespolitorea valvataeformis
Travunijana tribunicae
Radomaniola elongata
Ohridohauffenia minuta
Bythiospeum dubium
Bythinella eutrepha
Islamia zermanica
Bythiospeum putei
Alzoniella onatensis
Paladilhiopsis janinensis
Anagastina matjasici
Marstoniopsis graeca
Pseudoislamia balcanica
Pyrgohydrobia jablanicensis
Bythiospeum pellucidum
Trachyochridia filocincta
Belgrandiella boetersi
Paladilhiopsis turrita
Bythiospeum turritum
Dalmatella sketi
Sadleriana cavernosa
Tarraconia gasulli
Prespiana lacustris
Dianella schlickumi
Belgrandia bonelliana
Henrigirardia wienini
Radomaniola lacustris
Malaprespia albanica
Hadziella rudnicae
Marstoniopsis vrbasi
Hauffenia tovunica
Kerkia kusceri
Acroloxus macedonicus
Lyhnidia stankovici
Bythiospeum gonostoma
Belgrandiella multiformis
Paladilhiopsis neaaugustensis
Eupaludestrina dobrogica
Saxurinator labiatus
Monilearia pulverulenta
Hemicycla efferata
Canariella ronceroi
Hemicycla paeteliana
Monilearia tumulorum
Napaeus exilis
Canarivitrina falcifera
Corneola crombezi
Oxyloma kanabense
Aloe pembana
Afrothismia baerae
Aloe classenii
Uvaria decidua
Aloe flexilifolia
Aloe leptosiphon
Uvaria puguensis
Aloe boscawenii
Aloe dorotheae
Pachysaga strobila
Pacifastacus fortis
Minagrion ribeiroi
Micrathyria kleerekoperi
Sympetrum evanescens
Erythrodiplax acantha
Erythrodiplax nivea
Elga newtonsantosi
Pangasianodon gigas
Pangasius sanitwongsei
Paracyclopia naessi
Haplochromis beadlei
Haplochromis crassilabris
Parantica davidi
Lotus kunkelii
Limonium sventenii
Athamanta cortiana
Jurinea fontqueri
Astragalus tremolsianus
Onopordum nogalesii
Andryala crithmifolia
Thesium subsucculentum
Antirrhinum charidemi
Digitalis chalcantha
Odontites granatensis
Argyranthemum winteri
Goodyera macrophylla
Armeria berlengensis
Astragalus verrucosus
Hypochaeris oligocephala
Beta patula
Geranium maderense
Borderea chouardii
Bencomia sphaerocarpa
Pericallis hadrosoma
Brassica macrocarpa
Onopordum carduelium
Erodium astragaloides
Limonium spectabile
Teline salsoloides
Erucastrum palustre
Vicia bifoliolata
Globularia ascanii
Monanthes wildpretii
Limonium dendroides
Sideritis marmorea
Jasminum azoricum
Sinapidendron rupestre
Aichryson dumosum
Crambe sventenii
Laserpitium longiradium
Astragalus maritimus
Iris boissieri
Viola hispida
Cheirolophus duranii
Solanum lidii
Sideritis discolor
Sideritis serrata
Plantago almogravensis
Sideritis cystosiphon
Bencomia brachystachya
Centaurea heldreichii
Partulina confusa
Partulina dubia
Protosticta rozendalorum
Protosticta gracilis
Lotus benoistii
Vicia fulgens
Isoetes olympica
Epilobium numidicum
Rumex tunetanus
Pulicaria filaginoides
Acanthodactylus harranensis
Phrynocephalus horvathi
Vipera anatolica
Gyraulus ioanis
Pseudobithynia kathrinae
Iglica velkovrhi
Bythiospeum wiaaiglica
Islamia edlingeri
Gyraulus shasi
Bithynia kastorias
Pseudobithynia panetolis
Galanthus trojanus
Cambarus laconensis
Lepidium turczaninowii
Teline nervosa
Silene nocteolens
Tanacetum oshanahanii
Helianthemum teneriffae
Salvia herbanica
Sonchus gandogeri
Thesium psilotocladum
Cheirolophus metlesicsii
Artemisia insipida
Lotus maculatus
Lotus eremiticus
Lotus pyranthus
Plantago famarae
Cheirolophus santos-abreui
Pericallis malvifolia
Pene galilaea
Theodoxus baeticus
Theodoxus valentinus
Anabarilius qiluensis
Cyprinus ilishaestomus
Decorus decorus
Cyprinus barbatus
Sinocyclocheilus yangzongensis
Anabarilius yangzonensis
